,value,data,startTime
473,177.0,2021-04-15,16:01:56
474,178.0,2021-04-15,16:02:00
475,177.0,2021-04-15,16:02:07
476,177.0,2021-04-15,16:02:13
477,178.0,2021-04-15,16:02:14
478,177.0,2021-04-15,16:02:23
479,177.0,2021-04-15,16:02:28
480,177.0,2021-04-15,16:02:33
481,178.0,2021-04-15,16:02:37
482,178.0,2021-04-15,16:02:42
483,178.0,2021-04-15,16:02:46
484,179.0,2021-04-15,16:02:52
485,177.0,2021-04-15,16:02:58
486,177.0,2021-04-15,16:03:00
487,177.0,2021-04-15,16:03:05
488,177.0,2021-04-15,16:03:13
489,177.0,2021-04-15,16:03:16
490,176.0,2021-04-15,16:03:19
491,176.0,2021-04-15,16:03:27
492,176.0,2021-04-15,16:03:31
493,174.0,2021-04-15,16:03:37
494,174.0,2021-04-15,16:03:43
495,174.0,2021-04-15,16:03:45
496,174.0,2021-04-15,16:03:52
497,174.0,2021-04-15,16:03:54
498,172.0,2021-04-15,16:04:03
499,171.0,2021-04-15,16:04:08
500,171.0,2021-04-15,16:04:11
501,170.0,2021-04-15,16:04:14
502,168.0,2021-04-15,16:04:21
503,167.0,2021-04-15,16:04:24
504,166.0,2021-04-15,16:04:29
505,166.0,2021-04-15,16:04:34
506,165.0,2021-04-15,16:04:41
507,164.0,2021-04-15,16:04:46
508,163.0,2021-04-15,16:04:49
509,160.0,2021-04-15,16:04:58
510,157.0,2021-04-15,16:05:03
511,153.0,2021-04-15,16:05:07
512,153.0,2021-04-15,16:05:09
513,150.0,2021-04-15,16:05:16
514,151.0,2021-04-15,16:05:23
515,151.0,2021-04-15,16:05:24
516,152.0,2021-04-15,16:05:33
517,152.0,2021-04-15,16:05:34
518,151.0,2021-04-15,16:05:42
519,150.0,2021-04-15,16:05:44
520,150.0,2021-04-15,16:05:53
521,149.0,2021-04-15,16:05:58
522,148.0,2021-04-15,16:06:00
523,146.0,2021-04-15,16:06:06
524,146.0,2021-04-15,16:06:10
525,147.0,2021-04-15,16:06:15
526,147.0,2021-04-15,16:06:22
527,147.0,2021-04-15,16:06:24
528,146.0,2021-04-15,16:06:33
529,146.0,2021-04-15,16:06:38
530,146.0,2021-04-15,16:06:41
531,146.0,2021-04-15,16:06:47
532,146.0,2021-04-15,16:06:51
533,145.0,2021-04-15,16:06:58
534,146.0,2021-04-15,16:07:00
535,144.0,2021-04-15,16:07:04
536,144.0,2021-04-15,16:07:10
537,144.0,2021-04-15,16:07:18
538,145.0,2021-04-15,16:07:23
539,145.0,2021-04-15,16:07:27
540,144.0,2021-04-15,16:07:33
541,144.0,2021-04-15,16:07:37
542,143.0,2021-04-15,16:07:43
543,142.0,2021-04-15,16:07:48
544,142.0,2021-04-15,16:07:53
